Replica,H2 Molecule,Start Frame,Crossing Frame,Time Below 5 Å (frames),Start Distance (Å),Crossing Distance (Å),Tunnels In,Tunnels out,Frame-In,Crossing Frame,Frame-Out
11,799,0,558,4,78.2153031349146,4.99816956902769,T2,T2,4780,5580,10610
12,813,0,1465,1,64.1696587196833,4.99484470774074,T2,T2,13100,14650,14860
12,857,2,12140,3,57.546417003347,3.62512816097374,T1,T2,120820,121400,127380
15,831,0,10870,3,67.8637307948153,4.70012073927599,T2,T5,106900,108700,123450
16,846,0,5331,1,52.8296170238511,4.54067042837167,T8,T3,50020,53310,53710
17,838,0,22572,1,71.4802859332773,4.38336197217503,T2,T2,223860,225720,227210
18,806,0,10613,1,76.7345253707475,4.95004544001804,T3,T2,105390,106130,106930
18,843,4,10680,2,61.4917912289028,4.94701838592104,T8,T2,105200,106800,111970
20,810,0,13329,43,56.174363292515,4.9147081702265,T2,T2,131260,133290,135220
20,842,1,15161,1,52.0954850685409,4.95180277436756,T2,T2,145100,151610,155360
20,857,4,9478,5,50.955259655289,4.95710221531884,T2,T2,94400,94780,97080
20,878,12,23582,2,50.187671494808,4.71297667950063,T2,T2,234760,235820,238300
22,818,0,2909,1,77.2500783681577,4.5095953387892,T8,T3,24400,29090,39300
22,830,20,6501,221,50.955410339462,3.94928033905862,T2,T3,64800,65010,72280
22,879,13,23009,660,52.1018683390209,4.68526903811375,T8,T5,225010,230090,250000
23,850,12,23527,36,50.3000043932104,4.4859163274588,T2,T2,230490,235270,236920
25,873,0,4975,1,59.2458444689593,4.58413170654642,T1,T2,46350,49750,51340
27,803,0,258,37,58.9864781652497,3.82594673432935,T1,T2,2140,2580,5750
27,814,7,3646,1,51.646018979206,4.79594028670281,T2,T2,36400,36460,36790
27,817,1,3209,1,50.1935772414816,4.11570563060144,T1,T2,30550,32090,33380
27,823,0,6715,1,52.6175380253551,4.38521113985047,T2,T1,66530,67150,68670
27,831,0,13934,1,71.5853948793909,4.71289689790659,T2,T2,136260,139340,140200
27,833,7,9213,1,50.4533656695091,4.77186214421602,T2,T1,91080,92130,92860
27,841,0,21806,12,58.5331359851621,3.98919589972064,T2,T2,217460,218060,219880
27,851,0,2904,1,51.8043029112263,3.78498470463939,T2,T2,28390,29040,30080
27,871,0,349,2,59.530576802517,4.23475766571341,T2,T2,3130,3490,4020
27,878,0,14034,1,55.829759649359,4.843049799587,T2,T2,136850,140340,142570
27,892,0,377,12,55.7787656519293,3.42070281290056,T2,T2,1460,3770,4460
28,801,1,5316,7,51.1021961588171,4.08722212963573,T1,T2,51420,53160,58270
28,813,0,13234,1,50.458151904238,4.66889632544835,T8,T1,131220,132340,133950
28,819,0,9749,4,68.0551730090899,4.69571689582613,T2,T8,96320,97490,98660
28,828,0,13849,1,66.3409435787129,4.97894124780521,T2,T2,138050,138490,139600
31,799,4,4550,13,53.4342650835638,4.66901564537076,T2,T1,43040,45500,47810
31,830,7,22313,313,51.8613844472072,3.51658986394791,T2,T1,222000,223130,229020
35,879,4,7717,4,53.2780522311419,4.78366421589027,T2,T2,76320,77170,81370
36,813,4,1905,12,51.2642851176233,4.60427474210393,T2,T2,18350,19050,23540
36,824,0,1187,72,57.4125724502649,4.05449553887931,T3,T1,9710,11870,12980
36,845,0,4136,1,68.1372988979749,4.86936164668224,T3,T1,38930,41360,42890
36,847,1,1326,47,50.7635573503127,4.94782116976035,T8,T8,12000,13260,18430
36,849,0,2474,5,52.5717115065135,3.62648826776241,T8,T2,23220,24740,27710
36,855,0,1815,14,62.079421671738,4.43605947994698,T2,T2,17750,18150,21280
36,863,0,1750,7,50.5968661869583,4.57274985447607,T3,T2,16250,17500,18390
36,878,2,17441,7,54.8094700028263,3.46041911602101,T1,T1,165190,174410,176190
36,883,0,1862,18,61.2022194525946,4.70313121236008,T3,T2,18290,18620,19830
36,896,0,1446,5,68.4969528925058,4.85410488703824,T1,T2,13540,14460,15060
39,801,0,8590,1,71.0776224922306,4.59790497812663,T2,T1,84900,85900,87140
39,828,0,3233,4,68.0135407355364,4.41003440806951,T8,T8,29710,32330,33440
39,833,1,10528,5,51.8933400957977,4.20155109237092,T1,T8,104270,105280,111700
39,848,0,9542,2,55.1524904326807,4.68576010300673,T2,T2,94840,95420,97630
39,859,0,12374,1,51.6989946174301,3.45300580406562,T2,T2,123600,123740,124120
39,874,6,9109,1,54.6727924643362,4.16649447187374,T2,T5,89970,91090,92920
39,884,0,1898,1,64.2772377327914,4.87327726485626,T1,T1,18050,18980,20240
4,894,0,2057,4,65.0335452452743,4.66068668214256,T1,T2,20170,20570,21450
40,883,9,4851,1,50.0094574696768,4.81124943897048,T8,T2,45610,48510,49930
40,896,0,7875,1,72.3905114241962,4.8070960951418,T1,T2,77080,78750,79640
41,841,0,16947,48,54.6905446067031,3.357569369906,T4,,167970,169470,250000
43,870,1,2759,1,53.1396591279788,4.93248949960186,T2,T1,26480,27590,28150
44,801,1,18579,1,55.0937753884483,4.12486811999209,T3,T8,183960,185790,186350
44,859,3,4574,1,52.6929580819577,4.79797660222595,T1,T1,45470,45740,46960
44,865,0,6925,3,65.2983249510638,4.75815677042778,T2,T2,67950,69250,73040
45,843,1,11908,1,53.9350367103994,4.86885477579136,T2,T3,117610,119080,120780
45,884,17,10711,1,55.7936536276906,4.85300790020151,T1,T2,95870,107110,108670
46,827,0,11111,1,88.3695570755585,4.68274353402812,T2,T2,109350,111110,112120
46,838,0,15561,2,79.4418906762247,4.676116390479,T2,T2,153720,155610,156120
47,802,37,6002,1,50.0121929830317,4.48941101194781,T1,T3,59600,60020,60270
47,803,14,4237,1,54.1097042068022,4.84201025946063,T3,T2,40808,42370,43040
47,815,212,3595,24,50.4413284824096,4.27464659829561,T3,T2,35470,35950,36770
47,816,0,2410,1,73.2963616012595,4.60232917676145,T1,T1,23480,24100,29750
47,838,0,7273,1,67.8113412751029,4.69705572506648,T2,T1,70860,72730,75040
47,847,0,8440,1,67.3334870259197,4.78244619731092,T3,T2,82350,84400,85090
47,867,10,4182,3,50.8993644638473,4.61908874624908,T2,T1,40400,41820,44540
47,877,20,4709,1,58.3506271889258,4.56252515793704,T1,T2,46200,47090,47400
48,837,0,4548,2,50.4674570196741,4.90683516352511,T8,T3,43780,45480,46140
49,844,0,11116,1,51.5127456411019,4.77766326590682,T1,T2,110350,111160,115060
50,816,12,18926,1,50.6520365556633,4.98342709241858,T1,T2,188500,189260,192720
53,894,0,4839,2,58.5351578424979,4.70471765971313,T2,T2,47810,48390,58740
6,849,0,19468,1,66.7767701922873,4.8148086410238,T2,T2,190080,194680,196670
9,886,0,3199,1,92.359643848231,4.72499727953688,T3,T1,31310,31990,32280
61,805,11,1726,16,51.6107310951498,4.4084721643047,T2,T2,17170,17260,18130
61,807,1,20981,4,51.0337276440118,4.79286575290833,T8,T2,205840,209810,214080
61,812,11,1663,6,51.5408085538788,4.74697470644095,T1,T8,13450,16630,22640
61,813,0,1703,4,69.363688331545,4.69780025992683,T2,T2,16840,17030,19060
61,815,0,1388,1,74.7743650945222,4.974410832224,T3,T3,9970,13880,15490
61,827,0,1837,1,54.9497767214208,4.13096061141424,T8,T1,16960,18370,19710
61,839,16,1618,3,54.3907010320107,3.80310974552635,T3,T1,15820,16180,16710
61,875,0,2002,6,64.4106278155177,4.38713906133644,T2,T2,19850,20020,22460
63,838,39,2650,225,53.3587470449251,4.93830209450163,T1,T3,24780,26500,35430
65,827,22,19881,7,54.4854850836994,4.47159927999521,T4,T4,195370,198810,214260
65,879,0,5137,829,57.5857411288823,4.44568065909485,T8,T2,49010,51370,64750
69,800,2,6886,2,53.5689664885608,4.08089866264941,T1,T2,67970,68860,69720
69,828,0,8079,1,67.3851885550606,4.38846095769942,T3,T2,77440,80790,82630
69,842,81,6855,1,57.0514657227947,4.62304735836002,T8,T1,66560,68550,79630
69,881,0,3688,1,73.6666538035886,4.93854190185217,T1,T1,36010,36880,38290
70,888,0,9032,1,86.0741169495618,4.31001309985812,T8,T1,89120,90320,91140
71,833,0,1672,32,64.9182557687579,4.12007656090002,T2,T2,15460,16720,19300
71,854,0,1347,126,83.2291759121152,4.58778179146164,T2,T1,13020,13470,16020
74,799,0,17031,3,54.044300461718,3.80941345816534,T2,T2,169860,170310,171200
74,829,0,17052,1,62.1926581306355,3.90479276643435,T2,T3,169490,170520,174100
75,897,0,8986,2,74.3219938027348,4.35409637535049,T2,T1,87370,89860,92000
